Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
Training,3713,30,blue-collar,married,primary,no,-518,yes,yes,unknown,28,may,244,6,-1,0,unknown,no
Training,3714,26,admin.,married,secondary,no,-401,yes,yes,unknown,4,jul,246,1,-1,0,unknown,no
Training,3715,33,technician,single,secondary,no,315,yes,no,cellular,18,may,179,3,374,2,other,no
Training,3716,34,admin.,single,secondary,no,4447,yes,no,cellular,10,mar,75,2,-1,0,unknown,no
Training,3717,35,technician,single,tertiary,no,275,yes,no,cellular,25,aug,63,5,-1,0,unknown,no
Training,3718,26,management,single,tertiary,no,531,no,yes,unknown,27,may,57,1,-1,0,unknown,no
Training,3719,30,technician,single,secondary,no,126,no,no,cellular,19,aug,256,2,-1,0,unknown,no
Training,3720,31,technician,married,secondary,no,0,no,yes,cellular,19,aug,144,4,-1,0,unknown,no
Training,3721,32,management,married,tertiary,no,2516,no,no,cellular,17,nov,595,1,-1,0,unknown,no
Training,3722,33,blue-collar,single,secondary,no,123,yes,no,cellular,5,feb,273,3,212,4,failure,no
Training,3723,57,unemployed,divorced,secondary,no,1088,no,no,cellular,29,jul,1697,1,-1,0,unknown,no
Training,3724,51,admin.,married,secondary,no,79,no,no,cellular,13,aug,89,2,-1,0,unknown,no
Training,3725,41,blue-collar,married,primary,no,348,yes,no,unknown,14,may,423,2,-1,0,unknown,no
Training,3726,35,management,married,tertiary,no,0,no,no,cellular,6,aug,543,4,-1,0,unknown,no
Training,3727,33,services,married,secondary,no,244,yes,no,cellular,18,nov,231,2,-1,0,unknown,no
Training,3728,31,blue-collar,single,secondary,no,-78,yes,yes,unknown,23,may,198,2,-1,0,unknown,no
Training,3729,24,technician,married,secondary,no,330,yes,yes,cellular,5,may,326,1,-1,0,unknown,no
Training,3730,57,blue-collar,married,primary,no,3109,no,no,cellular,2,jun,482,2,-1,0,unknown,yes
Training,3731,39,admin.,single,secondary,no,1078,no,no,unknown,3,jun,199,3,-1,0,unknown,no
Training,3732,47,technician,divorced,tertiary,no,694,yes,no,cellular,11,may,1001,4,-1,0,unknown,no
Training,3733,57,services,married,primary,no,-319,no,yes,cellular,5,feb,620,1,196,1,other,no
Training,3734,36,management,divorced,tertiary,no,0,no,no,cellular,4,aug,1165,1,-1,0,unknown,yes
Training,3735,29,services,single,secondary,no,-293,no,yes,cellular,10,jul,150,1,-1,0,unknown,no
Training,3736,52,admin.,married,secondary,no,2851,no,yes,telephone,2,feb,35,1,-1,0,unknown,no
Training,3737,44,blue-collar,married,secondary,no,1147,yes,no,unknown,18,jun,23,3,-1,0,unknown,no
Training,3738,49,unemployed,married,tertiary,no,377,no,no,cellular,24,mar,74,2,-1,0,unknown,no
Training,3739,48,management,divorced,tertiary,no,2939,no,no,cellular,22,aug,91,4,-1,0,unknown,no
Training,3740,44,admin.,married,secondary,yes,-204,yes,no,cellular,8,may,105,1,347,2,failure,no
Training,3741,30,blue-collar,married,secondary,no,378,yes,no,cellular,14,may,566,2,-1,0,unknown,yes
Training,3742,33,technician,single,secondary,no,49,no,no,unknown,21,may,151,1,-1,0,unknown,no
Training,3743,36,management,married,tertiary,no,3537,yes,no,cellular,21,nov,115,2,-1,0,unknown,no
Training,3744,27,management,single,tertiary,no,831,no,no,cellular,30,mar,1081,2,-1,0,unknown,yes
Training,3745,37,admin.,married,secondary,no,2320,yes,no,cellular,20,apr,59,3,342,1,other,no
Training,3746,42,self-employed,married,secondary,no,357,no,no,cellular,22,aug,94,4,-1,0,unknown,no
Training,3747,71,retired,married,secondary,no,2064,no,no,cellular,9,aug,370,2,291,1,failure,no
Training,3748,61,management,married,tertiary,no,175,no,no,telephone,4,feb,79,2,183,2,success,no
Training,3749,37,admin.,single,secondary,no,686,yes,no,cellular,5,may,253,3,280,2,failure,no
Training,3750,34,admin.,married,secondary,no,3185,yes,no,unknown,13,may,520,1,-1,0,unknown,no
Training,3751,28,blue-collar,married,secondary,no,0,yes,no,unknown,8,may,459,2,-1,0,unknown,no
Training,3752,56,admin.,married,secondary,no,0,yes,no,telephone,19,nov,154,2,-1,0,unknown,no
Training,3753,31,admin.,married,secondary,no,212,yes,no,cellular,18,jul,191,3,-1,0,unknown,no
Training,3754,48,technician,married,unknown,no,5543,no,no,unknown,16,jun,143,5,-1,0,unknown,no
Training,3755,33,services,married,secondary,no,0,yes,yes,cellular,31,jul,35,29,-1,0,unknown,no
Training,3756,43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,1,-1,0,unknown,yes
Training,3757,38,blue-collar,married,primary,no,1495,yes,no,unknown,2,jun,74,3,-1,0,unknown,no
Training,3758,40,technician,married,secondary,no,826,no,no,unknown,24,feb,174,1,267,2,other,no
Training,3759,40,technician,single,secondary,no,822,yes,yes,cellular,29,jan,155,2,245,3,failure,no
Training,3760,41,blue-collar,married,secondary,no,114,yes,no,unknown,2,jun,82,3,-1,0,unknown,no
Training,3761,31,admin.,single,secondary,no,554,yes,no,cellular,5,feb,94,1,-1,0,unknown,no
Training,3762,46,management,divorced,secondary,no,177,no,no,cellular,20,aug,84,2,-1,0,unknown,no
Training,3763,40,admin.,married,secondary,no,1412,no,no,cellular,31,jul,48,3,-1,0,unknown,no
Training,3764,54,admin.,married,secondary,no,602,no,no,cellular,3,mar,143,2,-1,0,unknown,yes
Training,3765,43,management,married,tertiary,no,13044,no,no,cellular,19,nov,215,1,93,4,failure,no
Training,3766,36,management,single,tertiary,no,391,no,no,unknown,18,jun,443,1,-1,0,unknown,no
Training,3767,53,self-employed,divorced,tertiary,yes,10,no,no,cellular,20,nov,75,3,-1,0,unknown,no
Training,3768,36,blue-collar,married,secondary,no,160,yes,no,cellular,30,jan,344,2,-1,0,unknown,no
Training,3769,47,housemaid,married,primary,no,1747,yes,no,cellular,20,apr,325,1,-1,0,unknown,no
Training,3770,34,admin.,married,secondary,no,393,yes,no,cellular,18,may,222,4,355,1,failure,no
Training,3771,34,blue-collar,married,primary,no,358,yes,no,unknown,23,may,100,4,-1,0,unknown,no
Training,3772,40,entrepreneur,married,tertiary,yes,0,no,no,unknown,19,jun,952,4,-1,0,unknown,yes
Training,3773,57,entrepreneur,married,primary,no,6,yes,no,cellular,24,jul,126,6,-1,0,unknown,no
Training,3774,61,retired,divorced,primary,no,876,no,no,cellular,17,apr,40,9,-1,0,unknown,no
Training,3775,26,self-employed,single,tertiary,no,1153,no,no,cellular,4,may,238,3,-1,0,unknown,no
Training,3776,49,blue-collar,married,secondary,no,1060,no,yes,cellular,31,jul,137,6,-1,0,unknown,no
Training,3777,45,admin.,married,secondary,no,5346,yes,yes,unknown,21,oct,187,1,-1,0,unknown,yes
Training,3778,54,management,married,tertiary,no,1411,no,no,cellular,12,aug,56,2,-1,0,unknown,no
Training,3779,34,management,married,tertiary,no,0,no,no,cellular,11,aug,331,2,-1,0,unknown,no
Training,3780,47,technician,married,tertiary,no,52,no,no,cellular,25,aug,93,5,-1,0,unknown,no
Training,3781,46,entrepreneur,married,secondary,no,0,no,yes,cellular,18,jul,115,1,-1,0,unknown,no
Training,3782,37,blue-collar,married,primary,no,3370,yes,no,cellular,20,nov,156,4,-1,0,unknown,no
Training,3783,30,management,single,tertiary,no,5359,no,no,cellular,19,aug,145,1,84,2,success,yes
Training,3784,66,retired,married,primary,no,1943,no,no,cellular,24,aug,401,1,-1,0,unknown,no
Training,3785,25,technician,single,secondary,no,102,no,yes,cellular,8,jul,574,2,-1,0,unknown,yes
Training,3786,31,management,divorced,tertiary,no,0,no,no,cellular,2,feb,269,2,-1,0,unknown,no
Training,3787,28,management,married,tertiary,no,102,yes,no,unknown,26,may,314,2,-1,0,unknown,no
Training,3788,35,management,married,tertiary,no,5057,yes,no,unknown,4,jun,193,10,-1,0,unknown,no
Training,3789,35,entrepreneur,single,primary,no,5,no,no,cellular,21,nov,140,3,-1,0,unknown,no
Training,3790,28,blue-collar,single,secondary,no,-403,no,yes,cellular,23,jul,140,2,-1,0,unknown,no
Training,3791,46,admin.,married,secondary,no,368,no,no,cellular,20,aug,293,1,90,4,other,yes
Training,3792,49,services,single,secondary,no,1884,yes,no,cellular,8,may,43,1,-1,0,unknown,no
Training,3793,31,admin.,divorced,secondary,no,1210,no,no,cellular,16,jul,350,1,-1,0,unknown,no
Training,3794,80,retired,married,primary,no,997,no,no,cellular,28,jan,151,1,91,3,success,yes
Training,3795,47,housemaid,married,primary,no,823,no,no,unknown,19,jun,191,3,-1,0,unknown,no
Training,3796,54,management,divorced,tertiary,no,2037,no,no,cellular,2,feb,96,1,-1,0,unknown,no
Training,3797,55,blue-collar,married,primary,no,1649,yes,no,cellular,12,may,52,3,-1,0,unknown,no
Training,3798,43,services,married,primary,no,448,yes,no,unknown,26,may,118,6,-1,0,unknown,no
Training,3799,33,blue-collar,married,secondary,no,86,yes,no,unknown,19,may,364,1,-1,0,unknown,no
Training,3800,50,technician,married,tertiary,no,329,no,no,cellular,19,aug,329,4,-1,0,unknown,no
Training,3801,24,student,single,secondary,no,1684,no,no,cellular,6,apr,112,4,-1,0,unknown,no
Training,3802,29,unknown,single,secondary,no,1288,no,no,cellular,3,feb,266,1,-1,0,unknown,no
Training,3803,35,self-employed,single,tertiary,no,4294,no,no,unknown,26,jun,529,4,-1,0,unknown,no
Training,3804,40,admin.,married,secondary,no,-54,yes,no,cellular,8,may,183,1,-1,0,unknown,no
Training,3805,50,management,married,tertiary,no,938,no,no,cellular,30,apr,780,1,-1,0,unknown,yes
Training,3806,78,retired,married,primary,no,2735,no,no,telephone,26,feb,418,2,-1,0,unknown,no
Training,3807,41,management,single,tertiary,no,480,yes,no,unknown,15,may,178,2,-1,0,unknown,no
Training,3808,59,technician,married,secondary,no,2528,no,yes,unknown,19,jun,216,1,-1,0,unknown,no
Training,3809,40,blue-collar,married,secondary,no,1938,yes,no,cellular,7,may,228,1,-1,0,unknown,no
Training,3810,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,sep,199,1,92,14,success,yes
Training,3811,29,admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
Training,3812,52,technician,married,secondary,no,-384,yes,no,cellular,13,aug,114,4,-1,0,unknown,no
Training,3813,46,technician,married,secondary,no,0,no,no,cellular,30,apr,200,1,259,2,other,yes
Training,3814,35,blue-collar,married,secondary,no,667,yes,no,cellular,14,may,10,5,324,27,other,no
Training,3815,36,technician,married,unknown,no,88,yes,yes,unknown,4,jul,124,2,-1,0,unknown,no
Training,3816,36,technician,single,secondary,yes,12,no,no,cellular,12,aug,587,2,-1,0,unknown,yes
Training,3817,27,technician,married,secondary,no,7,yes,no,unknown,15,may,98,2,-1,0,unknown,no
Training,3818,37,services,married,secondary,no,775,no,no,cellular,14,aug,150,2,-1,0,unknown,yes
Training,3819,52,management,divorced,tertiary,no,147,no,no,cellular,30,jul,90,4,-1,0,unknown,no
Training,3820,27,blue-collar,married,secondary,no,77,yes,no,cellular,4,feb,253,1,-1,0,unknown,no
Training,3821,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes
Training,3822,34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,unknown,no
Training,3823,55,self-employed,married,primary,no,325,no,no,cellular,26,mar,439,4,-1,0,unknown,no
Training,3824,28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,apr,406,1,317,1,failure,no
Training,3825,46,self-employed,married,primary,no,107,yes,no,cellular,8,aug,109,6,-1,0,unknown,no
Training,3826,25,student,single,primary,no,373,yes,no,cellular,11,may,819,2,-1,0,unknown,yes
Training,3827,57,technician,divorced,secondary,no,1244,yes,no,cellular,18,jul,383,1,-1,0,unknown,no
Training,3828,38,management,married,tertiary,no,2656,no,no,cellular,8,jul,230,2,-1,0,unknown,no
Training,3829,37,admin.,single,secondary,no,-17,yes,no,cellular,11,may,400,2,340,2,failure,no
Training,3830,32,admin.,single,tertiary,no,3188,no,no,cellular,5,feb,65,2,242,1,other,no
Training,3831,43,self-employed,married,secondary,no,487,yes,no,telephone,18,may,54,2,279,4,failure,no
Training,3832,32,technician,married,secondary,no,150,no,yes,cellular,7,aug,231,2,-1,0,unknown,no
Training,3833,38,student,married,secondary,no,140,no,no,cellular,28,aug,12,21,-1,0,unknown,no
Training,3834,33,entrepreneur,married,secondary,no,3140,yes,yes,cellular,21,nov,7,5,-1,0,unknown,no
Training,3835,35,blue-collar,married,secondary,no,463,yes,no,unknown,21,may,104,1,-1,0,unknown,no
Training,3836,32,technician,single,tertiary,no,5514,no,no,cellular,22,apr,319,1,182,1,success,yes
Training,3837,35,technician,single,secondary,no,300,yes,no,unknown,9,may,338,4,-1,0,unknown,no
Training,3838,36,services,single,secondary,no,774,yes,no,cellular,3,feb,231,2,259,1,failure,no
Training,3839,46,technician,divorced,secondary,no,-154,yes,no,cellular,7,may,215,2,294,1,failure,no
Training,3840,29,blue-collar,married,secondary,no,-114,yes,no,cellular,15,may,132,2,359,2,failure,no
Training,3841,31,technician,single,tertiary,no,25,no,no,cellular,26,aug,265,16,-1,0,unknown,no
Training,3842,59,management,married,tertiary,no,220,yes,no,telephone,16,jul,30,2,-1,0,unknown,no
Training,3843,53,admin.,married,secondary,no,1815,no,no,cellular,29,jul,86,6,-1,0,unknown,no
Training,3844,47,management,married,secondary,yes,0,no,yes,cellular,22,aug,644,9,-1,0,unknown,no
Training,3845,48,admin.,single,primary,no,1078,no,no,unknown,17,jun,75,1,-1,0,unknown,no
Training,3846,31,management,married,tertiary,no,1164,yes,yes,cellular,18,jul,238,3,-1,0,unknown,no
Training,3847,56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,-1,0,unknown,no
Training,3848,29,student,single,secondary,no,510,yes,no,unknown,9,may,25,6,-1,0,unknown,no
Training,3849,57,blue-collar,married,secondary,no,1316,no,no,cellular,28,jan,221,2,182,5,failure,no
Training,3850,32,management,single,tertiary,no,2667,yes,no,cellular,19,nov,197,1,99,2,success,no
Training,3851,42,management,married,secondary,no,1018,no,no,cellular,29,jul,305,2,-1,0,unknown,no
Training,3852,34,technician,single,tertiary,no,586,yes,no,cellular,3,feb,43,5,263,2,failure,no
Training,3853,26,management,single,tertiary,no,1623,no,no,cellular,2,jun,479,1,-1,0,unknown,yes
Training,3854,34,admin.,single,tertiary,no,1077,no,no,cellular,19,oct,218,1,151,5,other,no
Training,3855,30,blue-collar,married,secondary,no,579,yes,yes,unknown,2,jun,381,2,-1,0,unknown,no
Training,3856,23,student,single,tertiary,no,691,no,no,cellular,27,may,1178,1,178,6,success,yes
Training,3857,48,management,single,tertiary,no,940,no,no,unknown,23,jun,216,3,-1,0,unknown,no
Training,3858,37,management,single,tertiary,no,2173,no,no,cellular,21,nov,158,3,114,1,failure,no
Training,3859,30,services,married,secondary,no,249,yes,no,cellular,17,apr,294,1,275,2,failure,no
Training,3860,30,technician,single,tertiary,no,0,no,no,cellular,15,sep,214,2,-1,0,unknown,no
Training,3861,31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown,no
Training,3862,43,blue-collar,single,primary,yes,69,no,yes,cellular,28,jul,267,5,-1,0,unknown,no
Training,3863,33,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83,3,-1,0,unknown,no
Training,3864,49,blue-collar,married,primary,no,198,yes,no,unknown,6,may,200,2,-1,0,unknown,no
Training,3865,34,technician,single,secondary,no,-89,yes,no,unknown,12,may,209,1,-1,0,unknown,no
Training,3866,47,technician,married,secondary,no,17206,yes,no,cellular,19,aug,125,4,-1,0,unknown,no
Training,3867,58,blue-collar,married,primary,no,9200,no,no,unknown,6,jun,233,2,-1,0,unknown,no
Training,3868,26,student,single,tertiary,no,39,no,no,cellular,26,may,396,3,-1,0,unknown,yes
Training,3869,64,retired,married,secondary,no,1574,no,no,telephone,29,jul,301,3,-1,0,unknown,yes
Training,3870,36,technician,single,secondary,no,12264,no,no,cellular,12,apr,158,2,-1,0,unknown,yes
Training,3871,50,management,married,secondary,no,0,no,no,cellular,27,aug,97,7,-1,0,unknown,no
Training,3872,52,management,divorced,tertiary,no,-297,yes,no,unknown,20,jun,11,21,-1,0,unknown,no
Training,3873,47,self-employed,married,primary,no,1056,no,no,telephone,29,aug,58,2,-1,0,unknown,no
Training,3874,49,management,married,tertiary,no,92,yes,no,unknown,6,may,221,2,-1,0,unknown,no
Training,3875,40,self-employed,married,secondary,no,0,no,no,cellular,22,aug,55,6,-1,0,unknown,no
Training,3876,35,technician,single,secondary,no,2471,yes,yes,cellular,25,jul,136,5,-1,0,unknown,no
Training,3877,32,blue-collar,married,secondary,no,3228,yes,no,cellular,19,nov,198,3,-1,0,unknown,no
Training,3878,41,blue-collar,married,secondary,no,-56,yes,no,cellular,13,apr,137,1,333,2,other,no
Training,3879,57,services,single,secondary,no,0,no,no,cellular,6,aug,355,1,-1,0,unknown,yes
Training,3880,42,management,divorced,unknown,no,7702,no,no,cellular,16,feb,138,2,-1,0,unknown,yes
Training,3881,35,technician,single,secondary,no,2496,yes,no,cellular,20,apr,9,2,-1,0,unknown,no
Training,3882,56,admin.,single,secondary,no,-13,no,no,unknown,16,jun,52,3,-1,0,unknown,no
Training,3883,35,technician,divorced,tertiary,no,4515,yes,no,cellular,11,may,66,3,173,2,failure,no
Training,3884,47,blue-collar,married,primary,no,6150,yes,no,cellular,13,may,444,2,174,2,failure,no
Training,3885,40,admin.,married,secondary,no,-253,yes,no,cellular,9,jul,177,1,-1,0,unknown,no
Training,3886,40,management,single,secondary,no,9916,no,no,cellular,18,nov,411,3,8,1,failure,no
Training,3887,29,unemployed,single,secondary,no,486,no,no,telephone,30,apr,95,1,-1,0,unknown,no
Training,3888,37,blue-collar,married,secondary,no,287,yes,no,unknown,6,jun,191,2,-1,0,unknown,no
Training,3889,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,19,nov,230,1,-1,0,unknown,no
Training,3890,42,blue-collar,married,primary,no,550,yes,no,cellular,20,apr,76,6,-1,0,unknown,no
Training,3891,37,blue-collar,married,secondary,no,-83,yes,no,cellular,18,may,179,4,-1,0,unknown,no
Training,3892,45,management,married,primary,no,4629,no,no,telephone,2,apr,285,2,-1,0,unknown,no
Training,3893,38,admin.,single,secondary,no,0,no,no,cellular,8,jul,452,3,-1,0,unknown,no
Training,3894,40,unemployed,married,primary,no,-78,no,no,cellular,3,feb,2053,4,-1,0,unknown,no
Training,3895,30,technician,single,secondary,no,-127,no,no,cellular,7,aug,76,3,-1,0,unknown,no
Training,3896,42,technician,married,secondary,no,488,no,no,cellular,9,apr,230,1,325,1,other,no
Training,3897,36,blue-collar,married,secondary,no,2452,yes,no,cellular,21,nov,161,1,-1,0,unknown,no
Training,3898,49,admin.,married,secondary,no,1323,yes,no,cellular,18,nov,84,1,-1,0,unknown,no
Training,3899,31,management,single,tertiary,no,499,yes,no,unknown,9,jun,122,2,-1,0,unknown,no
Training,3900,36,blue-collar,divorced,secondary,no,3102,yes,no,cellular,16,apr,188,1,147,1,failure,no
Training,3901,39,management,married,tertiary,no,141,yes,no,cellular,13,may,788,2,331,6,other,no
Training,3902,45,blue-collar,married,secondary,no,162,no,no,cellular,8,aug,130,2,-1,0,unknown,no
Training,3903,51,technician,married,secondary,no,1174,yes,no,cellular,15,may,301,1,-1,0,unknown,no
Training,3904,54,blue-collar,married,secondary,no,-630,no,no,unknown,23,may,173,1,-1,0,unknown,no
Training,3905,43,blue-collar,married,unknown,no,-19,no,yes,unknown,20,jun,241,2,-1,0,unknown,no
Training,3906,39,self-employed,married,secondary,no,235,no,no,unknown,9,jun,217,1,-1,0,unknown,no
Training,3907,41,housemaid,divorced,primary,no,9059,no,no,unknown,6,jun,113,1,-1,0,unknown,no
Training,3908,64,retired,married,tertiary,no,2059,no,yes,cellular,9,nov,326,1,95,1,other,no
Training,3909,39,blue-collar,married,secondary,no,230,yes,yes,cellular,21,jul,38,1,-1,0,unknown,no
Training,3910,36,services,married,secondary,no,812,yes,yes,cellular,2,feb,138,2,-1,0,unknown,no
Training,3911,35,technician,married,secondary,no,289,yes,no,cellular,11,aug,80,10,-1,0,unknown,no
Training,3912,34,blue-collar,married,secondary,no,320,yes,no,cellular,12,nov,413,1,92,3,success,yes
Training,3913,43,blue-collar,married,primary,no,-25,yes,no,cellular,12,may,254,4,365,2,failure,no
Training,3914,35,blue-collar,married,secondary,no,674,yes,no,unknown,30,may,274,2,-1,0,unknown,no
Training,3915,47,blue-collar,married,secondary,no,2787,no,no,cellular,11,aug,479,1,-1,0,unknown,yes
Training,3916,41,admin.,married,secondary,no,124,yes,no,cellular,12,may,191,3,-1,0,unknown,no
Training,3917,41,blue-collar,married,secondary,no,438,yes,no,unknown,30,may,129,3,-1,0,unknown,no
Training,3918,55,management,single,secondary,no,1507,yes,no,cellular,30,jul,114,3,-1,0,unknown,no
Training,3919,37,self-employed,single,tertiary,no,1004,yes,no,unknown,6,jun,377,3,-1,0,unknown,no
Training,3920,77,retired,married,primary,no,680,no,no,telephone,24,feb,513,2,89,7,failure,no
Training,3921,34,admin.,divorced,secondary,no,2144,yes,no,unknown,23,may,157,1,-1,0,unknown,no
Training,3922,30,services,single,secondary,no,-174,yes,no,unknown,7,may,113,1,-1,0,unknown,no
Training,3923,25,self-employed,single,unknown,no,1179,no,no,cellular,24,may,131,2,95,5,failure,no
Training,3924,56,retired,married,primary,no,16432,no,no,cellular,19,feb,702,2,189,2,failure,no
Training,3925,41,services,married,secondary,no,1319,yes,no,cellular,11,may,305,1,-1,0,unknown,no
Training,3926,70,retired,married,secondary,no,616,no,no,cellular,27,apr,149,2,182,1,failure,no
Training,3927,51,unemployed,married,secondary,no,425,yes,no,unknown,14,may,286,14,-1,0,unknown,no
Training,3928,53,blue-collar,married,primary,no,1794,yes,no,cellular,17,apr,557,1,-1,0,unknown,no
Training,3929,39,unemployed,divorced,secondary,no,265,yes,no,unknown,27,may,93,1,555,2,other,yes
Training,3930,50,technician,divorced,unknown,no,2794,no,no,cellular,12,aug,1336,2,-1,0,unknown,yes
Training,3931,37,blue-collar,single,secondary,no,48,no,no,cellular,6,may,140,2,-1,0,unknown,no
Training,3932,46,technician,single,tertiary,no,568,no,no,telephone,28,aug,51,4,-1,0,unknown,no
Training,3933,45,blue-collar,married,primary,no,446,yes,no,unknown,28,may,51,1,-1,0,unknown,no
Training,3934,43,blue-collar,married,primary,no,517,yes,no,cellular,20,apr,138,2,263,7,failure,no
Training,3935,36,blue-collar,married,secondary,no,2848,yes,no,cellular,20,nov,265,3,-1,0,unknown,no
Training,3936,51,self-employed,married,tertiary,no,5350,yes,yes,cellular,31,jul,612,4,-1,0,unknown,yes
Training,3937,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,-1,0,unknown,yes
Training,3938,27,technician,single,secondary,no,1842,yes,yes,cellular,18,may,687,2,300,1,failure,no
Training,3939,37,services,married,secondary,no,-5,yes,yes,unknown,30,may,43,2,-1,0,unknown,no
Training,3940,34,management,single,tertiary,no,2159,no,no,unknown,18,feb,386,1,-1,0,unknown,yes
Training,3941,35,management,divorced,tertiary,no,538,yes,no,cellular,21,nov,109,2,193,4,failure,no
Training,3942,46,management,married,secondary,no,0,no,no,cellular,27,aug,38,6,-1,0,unknown,no
Training,3943,55,admin.,married,tertiary,no,59,yes,no,cellular,11,may,51,1,305,1,failure,no
Training,3944,36,self-employed,divorced,tertiary,no,1354,yes,no,cellular,14,may,1723,1,356,2,success,yes
Training,3945,44,technician,married,secondary,no,326,yes,no,cellular,8,aug,108,2,-1,0,unknown,no
Training,3946,50,management,married,tertiary,no,0,no,no,unknown,11,jun,916,1,-1,0,unknown,no
Training,3947,27,blue-collar,married,secondary,no,1024,no,no,cellular,6,feb,280,6,-1,0,unknown,no
Training,3948,39,management,single,tertiary,no,257,no,no,cellular,7,jul,58,1,-1,0,unknown,no
Training,3949,35,technician,married,tertiary,no,944,no,no,cellular,8,aug,351,2,-1,0,unknown,no
Training,3950,51,unknown,married,unknown,no,12,no,no,unknown,11,jun,45,1,-1,0,unknown,no
Training,3951,34,management,married,tertiary,no,-422,yes,no,cellular,30,jan,458,3,-1,0,unknown,no
Training,3952,34,technician,married,tertiary,no,352,yes,no,cellular,16,apr,288,3,324,1,other,no
Training,3953,31,management,single,tertiary,no,4331,yes,no,cellular,22,jul,318,1,-1,0,unknown,no
Training,3954,28,entrepreneur,married,secondary,no,422,yes,no,unknown,19,may,394,2,-1,0,unknown,no
Training,3955,60,technician,married,unknown,no,0,yes,no,unknown,8,may,77,1,-1,0,unknown,no
Training,3956,57,retired,married,secondary,no,-133,no,no,cellular,19,aug,197,2,-1,0,unknown,no
Training,3957,27,unemployed,married,primary,no,7459,yes,no,unknown,9,may,407,2,-1,0,unknown,no
Training,3958,32,technician,married,tertiary,no,587,no,no,cellular,20,aug,212,4,-1,0,unknown,no
Training,3959,39,management,single,tertiary,no,668,no,no,cellular,14,aug,297,2,-1,0,unknown,no
Training,3960,35,housemaid,married,tertiary,no,1265,yes,no,cellular,15,may,326,5,179,4,failure,yes
Training,3961,53,technician,married,secondary,no,230,no,yes,cellular,13,aug,112,2,-1,0,unknown,no
Training,3962,43,retired,married,primary,no,471,no,yes,unknown,15,may,114,2,-1,0,unknown,no
Training,3963,58,admin.,married,secondary,no,169,no,no,cellular,15,feb,216,1,91,4,success,yes
Training,3964,32,services,married,secondary,no,1844,yes,yes,cellular,17,jul,168,6,-1,0,unknown,no
Training,3965,36,admin.,married,secondary,no,470,yes,no,cellular,31,jul,101,4,-1,0,unknown,no
Training,3966,28,admin.,single,tertiary,no,14,no,no,cellular,1,jun,201,1,-1,0,unknown,no
Training,3967,52,management,married,tertiary,no,6,no,no,telephone,19,oct,57,1,-1,0,unknown,no
Training,3968,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
Training,3969,55,housemaid,married,primary,no,578,no,no,cellular,11,aug,189,2,-1,0,unknown,no
Training,3970,48,admin.,married,secondary,no,191,yes,no,cellular,5,feb,238,3,-1,0,unknown,no
Training,3971,31,technician,married,secondary,no,522,yes,yes,cellular,27,aug,308,4,-1,0,unknown,no
Training,3972,43,management,married,tertiary,no,1800,no,no,telephone,29,jul,103,3,-1,0,unknown,no
Training,3973,29,blue-collar,married,primary,no,459,yes,yes,cellular,17,apr,202,3,318,1,failure,no
Training,3974,58,blue-collar,married,primary,no,5279,yes,no,unknown,17,jun,93,6,-1,0,unknown,no
Training,3975,45,blue-collar,married,primary,no,2388,no,no,cellular,11,aug,317,2,-1,0,unknown,no
Training,3976,36,admin.,married,secondary,no,1314,yes,no,cellular,17,jul,330,3,-1,0,unknown,no
Training,3977,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
Training,3978,21,student,single,tertiary,no,1258,no,no,cellular,7,jul,404,1,-1,0,unknown,no
Training,3979,42,technician,single,secondary,no,25,yes,no,cellular,21,aug,148,1,-1,0,unknown,no
Training,3980,47,services,married,secondary,no,651,no,yes,cellular,16,jul,325,2,-1,0,unknown,no
Training,3981,49,retired,single,primary,no,505,no,no,unknown,9,jun,35,1,-1,0,unknown,no
Training,3982,30,blue-collar,married,secondary,no,194,yes,no,cellular,8,may,475,3,-1,0,unknown,no
Training,3983,36,technician,married,secondary,no,1659,no,no,cellular,12,aug,126,2,-1,0,unknown,no
Training,3984,42,blue-collar,single,primary,no,181,yes,no,unknown,29,may,118,2,-1,0,unknown,no
Training,3985,55,retired,married,primary,no,386,no,yes,cellular,10,jul,136,1,-1,0,unknown,no
Training,3986,48,services,married,secondary,no,-110,yes,no,cellular,20,apr,97,2,321,2,other,no
Training,3987,39,admin.,single,primary,no,2805,no,no,unknown,5,jun,288,2,-1,0,unknown,no
