Group,Seq nr,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
Training,1359,55,management,divorced,tertiary,no,2625,yes,no,cellular,5,may,286,1,252,3,failure
Training,1360,36,blue-collar,married,secondary,no,6290,yes,no,unknown,3,jun,19,20,-1,0,unknown
Training,1361,55,admin.,married,secondary,no,9329,no,no,cellular,22,jun,136,1,95,1,failure
Training,1362,39,technician,married,secondary,no,3494,yes,no,cellular,19,aug,344,4,-1,0,unknown
Training,1363,31,services,single,secondary,no,124,yes,no,unknown,3,jun,154,4,-1,0,unknown
Training,1364,45,admin.,married,secondary,no,-261,yes,no,unknown,29,may,144,1,-1,0,unknown
Training,1365,33,admin.,single,secondary,no,303,no,no,cellular,29,jan,483,2,266,1,failure
Training,1366,43,admin.,married,secondary,no,3215,yes,no,cellular,21,jul,228,3,-1,0,unknown
Training,1367,32,blue-collar,single,primary,no,12198,yes,no,cellular,18,may,178,1,-1,0,unknown
Training,1368,52,technician,married,secondary,no,150,yes,no,telephone,21,jul,177,3,-1,0,unknown
Training,1369,39,services,divorced,secondary,no,892,yes,no,unknown,2,jun,26,1,-1,0,unknown
Training,1370,34,technician,married,secondary,no,0,yes,no,cellular,5,aug,231,2,2,3,success
Training,1371,32,admin.,married,secondary,no,1229,no,no,cellular,11,oct,485,1,182,1,success
Training,1372,50,housemaid,married,primary,no,4,no,no,unknown,16,jun,51,1,-1,0,unknown
Training,1373,56,admin.,single,secondary,no,1854,yes,no,telephone,7,may,45,1,342,2,failure
Training,1374,56,retired,married,tertiary,no,142,no,yes,cellular,14,jul,329,5,-1,0,unknown
Training,1375,46,blue-collar,married,secondary,no,494,yes,no,unknown,26,may,724,1,-1,0,unknown
Training,1376,33,technician,married,secondary,no,399,yes,no,cellular,7,may,143,1,-1,0,unknown
Training,1377,60,blue-collar,married,secondary,no,196,no,no,unknown,20,jun,583,3,-1,0,unknown
Training,1378,45,services,divorced,secondary,no,343,yes,no,cellular,5,may,301,2,-1,0,unknown
Training,1379,34,entrepreneur,married,tertiary,no,1076,yes,no,cellular,5,feb,136,10,-1,0,unknown
Training,1380,29,management,single,secondary,no,417,no,no,cellular,7,oct,90,1,-1,0,unknown
Training,1381,32,blue-collar,single,secondary,no,259,yes,no,cellular,8,may,158,3,354,1,failure
Training,1382,56,technician,married,secondary,no,124,yes,no,cellular,28,jul,341,12,-1,0,unknown
Training,1383,64,management,married,secondary,no,1646,no,no,cellular,12,aug,68,3,-1,0,unknown
Training,1384,45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown
Training,1385,50,management,divorced,secondary,no,2,no,no,cellular,19,nov,208,1,-1,0,unknown
Training,1386,40,management,married,tertiary,no,9366,no,no,cellular,11,nov,69,3,-1,0,unknown
Training,1387,23,student,single,secondary,no,151,yes,no,unknown,9,may,97,1,-1,0,unknown
Training,1388,28,management,single,tertiary,no,810,yes,no,cellular,5,feb,137,2,-1,0,unknown
Training,1389,57,blue-collar,married,primary,no,0,no,no,cellular,12,aug,120,3,-1,0,unknown
Training,1390,44,blue-collar,single,primary,no,142,yes,no,cellular,9,jul,668,1,-1,0,unknown
Training,1391,27,blue-collar,married,secondary,no,379,yes,yes,unknown,6,jun,252,4,-1,0,unknown
Training,1392,48,services,single,primary,no,1499,yes,no,cellular,12,may,17,7,-1,0,unknown
Training,1393,60,blue-collar,married,primary,no,631,no,no,cellular,12,aug,429,2,-1,0,unknown
Training,1394,29,management,single,tertiary,no,1739,yes,no,cellular,3,jun,114,1,-1,0,unknown
Training,1395,38,technician,married,secondary,no,0,yes,yes,cellular,7,may,193,2,296,5,other
Training,1396,45,technician,married,secondary,no,497,yes,no,cellular,20,apr,72,1,321,2,failure
Training,1397,28,services,single,secondary,no,2385,yes,no,unknown,4,jun,119,2,-1,0,unknown
Training,1398,34,management,married,unknown,yes,-353,yes,no,unknown,15,may,328,1,-1,0,unknown
Training,1399,36,services,married,secondary,no,647,yes,yes,cellular,15,may,290,2,-1,0,unknown
Training,1400,44,technician,married,secondary,no,339,yes,yes,telephone,6,aug,244,3,-1,0,unknown
Training,1401,48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,46,1,-1,0,unknown
Training,1402,42,technician,single,unknown,no,11115,no,no,cellular,10,aug,187,1,102,1,success
Training,1403,40,blue-collar,married,primary,no,607,yes,no,unknown,19,jun,432,1,-1,0,unknown
Training,1404,38,blue-collar,married,secondary,no,502,yes,no,unknown,2,jun,209,2,-1,0,unknown
Training,1405,32,management,married,tertiary,no,1390,no,no,cellular,7,aug,116,2,-1,0,unknown
Training,1406,33,blue-collar,married,primary,no,3512,yes,no,cellular,19,nov,251,1,183,2,failure
Training,1407,32,management,married,tertiary,no,2667,yes,no,cellular,4,sep,171,2,186,2,failure
Training,1408,57,management,married,tertiary,yes,-24,yes,no,telephone,17,nov,14,1,-1,0,unknown
Training,1409,42,management,married,primary,no,-417,yes,no,cellular,5,feb,81,3,273,3,failure
Training,1410,47,unemployed,divorced,tertiary,no,780,no,no,unknown,20,jun,447,2,-1,0,unknown
Training,1411,32,management,single,tertiary,no,1047,yes,no,cellular,13,aug,203,6,-1,0,unknown
Training,1412,30,services,single,secondary,no,677,yes,no,cellular,21,nov,108,1,-1,0,unknown
Training,1413,35,blue-collar,married,primary,no,51,yes,no,unknown,28,may,593,2,-1,0,unknown
Training,1414,58,technician,married,primary,yes,-247,no,no,unknown,6,jun,179,1,-1,0,unknown
Training,1415,45,blue-collar,single,secondary,no,636,yes,no,unknown,16,may,287,4,-1,0,unknown
Training,1416,27,management,single,tertiary,no,385,no,yes,cellular,31,jul,52,7,-1,0,unknown
Training,1417,42,admin.,married,secondary,no,3165,yes,no,unknown,16,jun,298,4,-1,0,unknown
Training,1418,53,technician,married,secondary,no,264,no,no,telephone,27,feb,429,4,-1,0,unknown
Training,1419,58,retired,married,primary,no,565,no,no,telephone,8,oct,153,1,93,1,success
Training,1420,32,blue-collar,single,secondary,yes,-575,yes,no,cellular,14,may,24,6,346,9,failure
Training,1421,22,student,single,secondary,no,948,no,no,telephone,25,feb,169,1,191,3,success
Training,1422,31,technician,married,tertiary,no,0,no,no,cellular,29,aug,70,2,-1,0,unknown
Training,1423,50,blue-collar,married,primary,no,104,yes,no,cellular,17,apr,317,3,324,2,other
Training,1424,57,housemaid,married,tertiary,no,2326,no,no,cellular,17,apr,378,1,-1,0,unknown
Training,1425,37,services,divorced,secondary,no,1472,yes,no,cellular,3,feb,126,3,-1,0,unknown
Training,1426,41,technician,married,secondary,no,2490,yes,no,unknown,21,may,115,2,-1,0,unknown
Training,1427,37,blue-collar,married,secondary,no,740,yes,no,cellular,7,may,434,3,342,2,failure
Training,1428,47,management,married,tertiary,no,3663,no,no,cellular,29,oct,424,2,213,3,success
Training,1429,46,management,married,tertiary,no,182,no,no,cellular,15,jul,317,1,-1,0,unknown
Training,1430,29,technician,married,secondary,no,1599,yes,no,cellular,1,feb,200,2,96,3,failure
Training,1431,46,services,married,secondary,no,375,no,no,telephone,31,jul,172,6,-1,0,unknown
Training,1432,36,self-employed,married,tertiary,no,634,yes,no,cellular,21,nov,369,2,-1,0,unknown
Training,1433,43,technician,married,secondary,no,2041,yes,yes,unknown,29,may,162,5,-1,0,unknown
Training,1434,51,housemaid,married,primary,no,1382,no,no,unknown,17,jun,226,1,-1,0,unknown
Training,1435,29,blue-collar,married,secondary,no,844,yes,no,unknown,27,may,157,2,-1,0,unknown
Training,1436,53,entrepreneur,married,secondary,no,230,yes,no,cellular,4,feb,56,2,250,1,other
Training,1437,31,blue-collar,single,primary,no,-495,yes,no,unknown,29,may,334,2,-1,0,unknown
Training,1438,48,services,divorced,secondary,no,361,no,no,cellular,17,nov,287,1,-1,0,unknown
Training,1439,33,admin.,single,secondary,no,0,no,no,cellular,20,aug,201,2,204,2,other
Training,1440,39,blue-collar,married,secondary,no,4777,yes,no,cellular,20,nov,103,1,-1,0,unknown
Training,1441,42,blue-collar,married,secondary,no,597,yes,no,unknown,15,may,124,1,-1,0,unknown
Training,1442,33,management,single,tertiary,no,0,yes,no,cellular,2,feb,116,3,-1,0,unknown
Training,1443,48,management,divorced,tertiary,no,17964,yes,no,cellular,1,sep,120,1,98,5,success
Training,1444,31,technician,single,secondary,no,591,yes,yes,cellular,15,may,14,5,-1,0,unknown
Training,1445,35,admin.,divorced,secondary,no,951,yes,no,cellular,16,apr,567,2,-1,0,unknown
Training,1446,38,admin.,married,secondary,no,338,no,yes,cellular,8,jul,191,1,-1,0,unknown
Training,1447,45,blue-collar,married,secondary,no,771,yes,no,unknown,19,may,221,2,-1,0,unknown
Training,1448,57,blue-collar,married,secondary,no,6004,yes,no,cellular,12,aug,157,6,-1,0,unknown
Training,1449,55,blue-collar,married,secondary,no,1011,yes,no,cellular,12,aug,112,2,-1,0,unknown
Training,1450,59,unknown,married,unknown,no,1500,no,no,cellular,4,aug,248,1,182,1,other
Training,1451,30,management,single,tertiary,no,596,no,no,cellular,4,jun,125,2,-1,0,unknown
Training,1452,27,admin.,single,secondary,no,116,no,no,cellular,30,jan,46,1,-1,0,unknown
Training,1453,39,technician,single,secondary,no,400,yes,no,cellular,15,may,237,2,-1,0,unknown
Training,1454,36,unemployed,single,primary,no,0,no,no,telephone,20,nov,47,3,-1,0,unknown
Training,1455,58,services,married,secondary,no,627,no,no,cellular,13,aug,110,4,-1,0,unknown
Training,1456,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown
Training,1457,36,management,married,tertiary,no,268,yes,yes,cellular,24,jul,823,1,-1,0,unknown
Training,1458,48,blue-collar,single,secondary,no,312,yes,yes,cellular,3,feb,369,2,-1,0,unknown
Training,1459,49,services,married,secondary,no,320,no,no,telephone,9,feb,1971,4,-1,0,unknown
Training,1460,40,technician,married,secondary,no,657,yes,no,cellular,30,jul,159,2,-1,0,unknown
Training,1461,52,management,single,tertiary,no,37,no,no,cellular,7,jul,1284,1,-1,0,unknown
Training,1462,31,management,single,tertiary,no,9629,no,no,cellular,3,jul,67,2,-1,0,unknown
Training,1463,32,blue-collar,married,secondary,no,1873,yes,yes,unknown,20,jun,23,24,-1,0,unknown
Training,1464,31,admin.,married,secondary,no,84,yes,no,cellular,22,jul,580,3,-1,0,unknown
Training,1465,36,management,married,tertiary,no,-861,yes,yes,cellular,28,jul,53,2,-1,0,unknown
Training,1466,33,admin.,single,tertiary,no,146,no,no,cellular,23,jul,351,3,-1,0,unknown
Training,1467,35,housemaid,married,primary,no,0,no,no,cellular,18,aug,65,3,-1,0,unknown
Training,1468,68,retired,married,unknown,no,3701,no,no,telephone,8,jun,149,1,-1,0,unknown
Training,1469,36,admin.,married,secondary,no,96,no,no,cellular,30,apr,208,1,87,1,success
Training,1470,33,management,married,tertiary,no,1657,yes,no,unknown,27,may,342,4,-1,0,unknown
Training,1471,53,unknown,married,secondary,no,16,no,no,unknown,9,jun,100,1,-1,0,unknown
Training,1472,31,management,divorced,tertiary,yes,10,yes,yes,cellular,5,may,167,1,-1,0,unknown
Training,1473,39,management,divorced,tertiary,no,5009,yes,no,cellular,15,jul,1083,2,-1,0,unknown
Training,1474,43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,unknown
Training,1475,31,blue-collar,married,secondary,no,1716,yes,no,cellular,13,apr,542,2,340,2,other
Training,1476,29,management,married,tertiary,no,451,no,no,cellular,4,may,54,1,96,1,failure
Training,1477,34,blue-collar,married,primary,no,392,yes,no,cellular,18,may,180,3,360,1,failure
Training,1478,34,blue-collar,married,primary,no,-106,yes,no,unknown,27,may,237,1,-1,0,unknown
Training,1479,29,admin.,single,secondary,no,768,yes,no,cellular,24,jul,119,5,-1,0,unknown
Training,1480,43,technician,single,tertiary,no,1154,no,no,cellular,15,jul,603,11,-1,0,unknown
Training,1481,32,admin.,married,secondary,no,159,no,yes,unknown,26,jun,177,1,-1,0,unknown
Training,1482,34,admin.,married,secondary,no,1365,yes,no,unknown,29,may,293,2,-1,0,unknown
Training,1483,25,student,single,tertiary,no,1433,yes,no,cellular,15,may,520,1,-1,0,unknown
Training,1484,94,retired,divorced,secondary,no,1234,no,no,cellular,3,mar,212,1,-1,0,unknown
Training,1485,40,management,married,secondary,no,9047,yes,no,cellular,21,nov,527,1,95,2,other
Training,1486,37,technician,married,secondary,no,729,yes,no,cellular,15,jul,115,5,-1,0,unknown
Training,1487,39,unemployed,single,secondary,no,356,yes,no,unknown,30,may,462,2,-1,0,unknown
Training,1488,30,technician,divorced,tertiary,no,317,yes,no,cellular,25,jul,67,5,-1,0,unknown
Training,1489,57,services,divorced,primary,no,1367,no,no,unknown,9,jun,144,3,-1,0,unknown
Training,1490,42,management,married,tertiary,no,199,yes,no,cellular,9,jul,497,1,-1,0,unknown
Training,1491,32,management,married,primary,no,142,yes,no,unknown,12,may,101,1,-1,0,unknown
Training,1492,62,management,married,tertiary,no,0,no,no,cellular,13,apr,113,3,182,3,failure
Training,1493,41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,343,1,-1,0,unknown
Training,1494,35,admin.,divorced,tertiary,no,1555,yes,no,unknown,9,may,26,2,-1,0,unknown
Training,1495,39,admin.,single,secondary,no,1661,no,yes,cellular,8,jul,431,1,-1,0,unknown
Training,1496,34,admin.,single,secondary,no,852,no,no,cellular,14,apr,108,2,-1,0,unknown
Training,1497,26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,899,1,-1,0,unknown
Training,1498,57,technician,married,tertiary,no,2887,yes,no,cellular,11,feb,123,1,-1,0,unknown
Training,1499,35,blue-collar,single,secondary,no,5,no,no,unknown,19,may,268,3,-1,0,unknown
Training,1500,57,technician,married,secondary,no,3240,yes,no,unknown,14,may,129,2,-1,0,unknown
Training,1501,21,student,single,secondary,no,232,yes,no,unknown,21,may,110,2,-1,0,unknown
Training,1502,48,blue-collar,married,primary,no,237,yes,no,unknown,19,jun,18,18,-1,0,unknown
Training,1503,54,technician,married,tertiary,no,6507,no,no,cellular,26,may,145,1,-1,0,unknown
Training,1504,37,management,single,tertiary,no,2074,no,no,cellular,18,aug,244,2,-1,0,unknown
Training,1505,34,services,divorced,secondary,no,0,yes,yes,unknown,20,may,203,1,-1,0,unknown
Training,1506,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown
Training,1507,38,blue-collar,married,secondary,no,451,no,no,cellular,30,jan,143,1,-1,0,unknown
Training,1508,30,technician,single,tertiary,no,178,yes,no,unknown,8,may,234,1,-1,0,unknown
Training,1509,31,blue-collar,single,secondary,no,-538,no,yes,cellular,6,feb,521,1,-1,0,unknown
Training,1510,44,unemployed,married,secondary,no,728,yes,no,cellular,7,apr,185,1,328,11,failure
Training,1511,35,services,divorced,secondary,no,543,yes,no,cellular,22,jul,624,2,-1,0,unknown
Training,1512,32,services,married,secondary,no,207,yes,no,unknown,23,may,360,1,-1,0,unknown
Training,1513,20,student,married,unknown,no,292,no,no,cellular,4,may,45,1,-1,0,unknown
Training,1514,50,technician,divorced,secondary,no,0,no,no,cellular,2,feb,91,2,-1,0,unknown
Training,1515,45,blue-collar,married,secondary,no,90,yes,no,unknown,29,may,744,6,-1,0,unknown
Training,1516,45,management,married,tertiary,no,1540,yes,no,unknown,19,may,194,3,-1,0,unknown
Training,1517,35,technician,married,secondary,no,0,no,no,cellular,31,jul,122,9,-1,0,unknown
Training,1518,43,services,married,secondary,no,192,yes,yes,unknown,30,may,273,2,-1,0,unknown
Training,1519,42,management,married,tertiary,no,4617,yes,no,cellular,31,jul,543,2,-1,0,unknown
Training,1520,44,admin.,single,secondary,no,4492,no,yes,cellular,31,jul,19,13,-1,0,unknown
Training,1521,40,unemployed,married,tertiary,no,2135,yes,no,cellular,5,feb,171,5,230,1,failure
Training,1522,31,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown
Training,1523,46,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71,2,-1,0,unknown
Training,1524,47,technician,married,primary,no,434,yes,yes,cellular,5,may,278,1,-1,0,unknown
Training,1525,50,technician,married,tertiary,no,267,yes,no,cellular,21,nov,30,1,-1,0,unknown
Training,1526,34,management,divorced,tertiary,no,70,yes,no,unknown,22,jul,5,1,701,6,other
Training,1527,40,blue-collar,married,secondary,no,2932,yes,no,unknown,9,jun,22,17,-1,0,unknown
Training,1528,50,blue-collar,married,primary,no,604,no,no,cellular,5,aug,104,1,-1,0,unknown
Training,1529,31,admin.,single,secondary,no,431,yes,yes,unknown,20,may,1045,1,-1,0,unknown
Training,1530,34,technician,single,secondary,no,52,no,no,cellular,19,aug,90,4,-1,0,unknown
Training,1531,56,admin.,divorced,primary,no,207,yes,no,unknown,3,jun,88,4,-1,0,unknown
Training,1532,42,management,single,tertiary,no,706,no,no,cellular,29,jan,132,2,-1,0,unknown
Training,1533,32,admin.,married,tertiary,no,233,yes,no,cellular,2,apr,77,2,133,4,failure
Training,1534,35,blue-collar,married,secondary,no,2054,yes,no,unknown,20,may,447,1,-1,0,unknown
Training,1535,32,blue-collar,married,secondary,no,1905,yes,no,cellular,16,jul,709,2,-1,0,unknown
Training,1536,38,technician,single,secondary,no,211,yes,no,cellular,29,jan,236,2,-1,0,unknown
Training,1537,27,blue-collar,single,secondary,no,153,yes,no,cellular,20,apr,198,3,346,1,failure
Training,1538,45,blue-collar,married,secondary,no,-149,yes,no,unknown,15,may,644,2,-1,0,unknown
Training,1539,37,blue-collar,single,primary,no,315,no,no,cellular,20,nov,352,1,-1,0,unknown
Training,1540,61,retired,married,secondary,no,5196,no,no,telephone,16,mar,244,2,95,4,other
Training,1541,59,blue-collar,married,secondary,no,448,no,no,unknown,8,jun,198,1,651,7,other
Training,1542,44,services,married,primary,no,2226,yes,yes,unknown,13,may,55,1,-1,0,unknown
Training,1543,40,technician,single,secondary,no,360,yes,no,unknown,9,may,73,1,-1,0,unknown
Training,1544,37,technician,married,secondary,no,1120,yes,no,cellular,29,jan,88,3,244,5,failure
Training,1545,38,technician,married,secondary,no,865,yes,no,cellular,30,apr,503,3,-1,0,unknown
Training,1546,31,services,single,secondary,no,695,yes,no,cellular,3,apr,314,1,318,1,failure
Training,1547,33,management,single,tertiary,no,7084,no,no,cellular,27,aug,512,8,-1,0,unknown
Training,1548,30,services,single,tertiary,no,136,yes,yes,unknown,16,may,208,5,-1,0,unknown
Training,1549,35,blue-collar,married,primary,no,1177,no,no,cellular,8,jun,243,4,-1,0,unknown
Training,1550,25,blue-collar,single,primary,no,-289,yes,no,telephone,13,may,56,2,-1,0,unknown
Training,1551,30,management,single,tertiary,no,2900,no,no,cellular,8,aug,147,2,-1,0,unknown
Training,1552,46,management,married,tertiary,no,9678,yes,no,cellular,17,nov,318,1,-1,0,unknown
Training,1553,32,technician,married,secondary,no,268,yes,yes,cellular,22,jul,102,5,-1,0,unknown
Training,1554,40,admin.,single,secondary,no,1200,yes,no,cellular,21,nov,163,2,156,8,failure
Training,1555,48,technician,married,secondary,no,71,no,no,unknown,20,jun,524,4,-1,0,unknown
Training,1556,59,blue-collar,married,primary,no,1723,no,no,cellular,10,feb,39,3,-1,0,unknown
Training,1557,53,entrepreneur,divorced,unknown,no,4736,yes,no,unknown,3,jun,676,5,-1,0,unknown
Training,1558,21,blue-collar,single,secondary,no,-273,yes,yes,unknown,13,may,340,1,-1,0,unknown
Training,1559,43,services,divorced,secondary,no,207,yes,no,unknown,16,may,132,1,-1,0,unknown
Training,1560,38,blue-collar,single,primary,no,0,yes,no,cellular,11,may,284,4,-1,0,unknown
Training,1561,30,blue-collar,married,primary,no,9194,yes,no,unknown,23,may,178,2,-1,0,unknown
Training,1562,58,management,married,tertiary,no,96,no,no,cellular,21,nov,850,1,-1,0,unknown
Training,1563,29,management,single,secondary,no,966,no,no,cellular,9,jul,1185,1,396,2,other
Training,1564,31,blue-collar,single,secondary,no,16,no,no,cellular,7,jul,387,1,-1,0,unknown
Training,1565,27,admin.,single,tertiary,no,662,no,no,cellular,30,apr,47,1,-1,0,unknown
Training,1566,40,services,married,secondary,no,37,no,no,unknown,9,jun,356,5,-1,0,unknown
Training,1567,71,retired,married,tertiary,no,2651,no,no,cellular,24,aug,73,3,200,2,failure
Training,1568,34,unknown,married,unknown,no,164,no,no,cellular,4,aug,119,2,-1,0,unknown
Training,1569,43,technician,married,secondary,no,4945,yes,no,cellular,3,sep,219,3,185,2,success
Training,1570,33,management,married,secondary,no,4385,no,yes,cellular,4,jul,92,1,-1,0,unknown
Training,1571,58,services,married,secondary,no,1905,no,no,cellular,27,aug,202,5,-1,0,unknown
Training,1572,29,student,single,secondary,no,200,yes,no,unknown,4,jun,87,2,-1,0,unknown
Training,1573,56,management,married,secondary,no,1502,no,no,telephone,31,jul,119,11,-1,0,unknown
Training,1574,30,unknown,single,unknown,no,6929,no,no,cellular,19,nov,341,1,-1,0,unknown
Training,1575,37,management,single,tertiary,no,62,yes,no,cellular,2,aug,428,2,272,8,success
Training,1576,54,retired,married,secondary,no,2950,no,no,cellular,11,aug,45,2,-1,0,unknown
Training,1577,19,student,single,primary,no,245,no,no,telephone,10,nov,98,2,110,2,other
Training,1578,32,student,single,unknown,no,0,no,no,unknown,15,sep,7,1,-1,0,unknown
Training,1579,52,housemaid,married,primary,no,5137,no,no,unknown,9,jun,199,1,-1,0,unknown
Training,1580,31,admin.,single,secondary,no,527,yes,no,unknown,3,jun,722,2,-1,0,unknown
Training,1581,51,technician,married,tertiary,no,0,no,no,cellular,7,may,662,2,66,2,success
Training,1582,42,admin.,married,secondary,no,101,yes,no,unknown,6,may,32,3,-1,0,unknown
Training,1583,42,self-employed,married,primary,no,3641,yes,no,unknown,14,may,869,1,-1,0,unknown
Training,1584,59,retired,married,secondary,no,2467,no,no,cellular,20,nov,972,2,-1,0,unknown
Training,1585,55,services,married,secondary,no,953,yes,yes,cellular,6,aug,125,3,-1,0,unknown
Training,1586,44,management,divorced,tertiary,no,96,no,no,cellular,25,aug,119,2,-1,0,unknown
Training,1587,40,unemployed,divorced,secondary,no,193,yes,no,cellular,7,may,195,1,357,1,failure
Training,1588,36,technician,married,secondary,no,1109,yes,no,unknown,23,may,122,5,-1,0,unknown
Training,1589,71,retired,married,primary,no,2600,no,no,cellular,13,nov,186,2,98,1,success
Training,1590,39,services,married,secondary,no,104,yes,no,unknown,23,may,138,6,-1,0,unknown
Training,1591,56,management,divorced,tertiary,no,382,no,no,cellular,19,nov,117,2,-1,0,unknown
Training,1592,39,blue-collar,single,secondary,no,519,yes,yes,cellular,5,may,180,3,166,15,failure
Training,1593,46,technician,married,secondary,no,0,no,no,telephone,20,apr,173,2,-1,0,unknown
Training,1594,44,services,married,secondary,no,972,yes,no,cellular,30,jul,294,3,-1,0,unknown
Training,1595,39,blue-collar,married,tertiary,no,-33,yes,no,unknown,7,may,62,5,-1,0,unknown
Training,1596,26,management,single,tertiary,no,2506,no,no,cellular,28,may,210,2,100,1,success
Training,1597,28,technician,single,secondary,yes,-298,yes,no,unknown,3,jun,559,7,-1,0,unknown
Training,1598,35,blue-collar,married,primary,no,4924,no,no,unknown,16,jun,252,2,-1,0,unknown
Training,1599,46,retired,divorced,tertiary,no,-48,no,no,cellular,4,aug,20,4,-1,0,unknown
Training,1600,48,blue-collar,married,secondary,no,729,yes,no,telephone,15,jul,277,1,-1,0,unknown
Training,1601,53,management,divorced,secondary,no,2215,yes,yes,cellular,31,jul,88,14,-1,0,unknown
Training,1602,50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown
Training,1603,31,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,200,2,-1,0,unknown
Training,1604,57,unknown,married,unknown,no,327,yes,no,unknown,28,may,74,2,-1,0,unknown
Training,1605,56,services,married,secondary,yes,-8,no,no,cellular,6,aug,159,2,-1,0,unknown
Training,1606,58,services,divorced,secondary,no,462,no,no,cellular,13,nov,495,1,93,1,success
Training,1607,31,blue-collar,married,unknown,yes,-13,yes,no,unknown,30,may,176,4,-1,0,unknown
Training,1608,37,technician,married,tertiary,no,0,yes,no,cellular,25,aug,484,4,-1,0,unknown
Training,1609,30,blue-collar,married,secondary,no,537,yes,no,cellular,22,jul,661,2,-1,0,unknown
Training,1610,33,admin.,married,secondary,no,347,yes,no,cellular,9,feb,7,7,193,13,failure
Training,1611,55,retired,married,secondary,no,5,no,no,unknown,20,jun,108,1,-1,0,unknown
Training,1612,50,management,married,tertiary,no,1612,no,no,cellular,15,sep,188,1,92,4,success
Training,1613,51,blue-collar,married,secondary,no,51,no,yes,cellular,20,aug,214,8,-1,0,unknown
Training,1614,25,blue-collar,single,secondary,no,815,yes,no,unknown,19,may,268,6,-1,0,unknown
Training,1615,50,technician,married,tertiary,no,3337,yes,yes,telephone,31,jul,24,14,-1,0,unknown
Training,1616,44,blue-collar,married,primary,no,77,yes,no,unknown,29,may,23,1,-1,0,unknown
Training,1617,56,management,married,tertiary,no,0,no,yes,unknown,20,jun,422,1,-1,0,unknown
Training,1618,33,admin.,single,secondary,no,13,yes,no,cellular,29,jan,111,1,247,2,failure
Training,1619,39,blue-collar,married,primary,no,643,no,yes,cellular,28,jul,24,14,-1,0,unknown
Training,1620,37,technician,married,secondary,no,1309,yes,no,cellular,28,aug,77,4,-1,0,unknown
Training,1621,23,management,single,tertiary,no,1807,no,no,cellular,27,jul,606,1,-1,0,unknown
Training,1622,51,technician,married,secondary,no,563,yes,no,cellular,17,jul,117,3,-1,0,unknown
Training,1623,42,entrepreneur,married,tertiary,no,0,no,no,cellular,9,jul,236,1,-1,0,unknown
Training,1624,43,management,divorced,tertiary,no,443,yes,no,unknown,9,may,219,1,-1,0,unknown
Training,1625,57,retired,married,unknown,no,-157,no,no,cellular,28,aug,31,9,-1,0,unknown
Training,1626,36,entrepreneur,married,tertiary,no,280,yes,no,cellular,7,may,252,1,351,1,failure
Training,1627,37,services,single,secondary,no,21,yes,no,cellular,2,feb,96,1,271,2,other
Training,1628,71,retired,divorced,secondary,no,5584,no,no,cellular,21,aug,534,3,-1,0,unknown
Training,1629,33,management,married,tertiary,no,133,yes,no,unknown,26,may,308,4,-1,0,unknown
Training,1630,78,retired,married,tertiary,no,226,no,no,telephone,6,nov,136,1,-1,0,unknown
Training,1631,32,technician,married,tertiary,no,15,no,no,cellular,14,may,226,1,346,1,failure
Training,1632,50,admin.,married,secondary,no,2971,no,no,cellular,9,jun,722,2,-1,0,unknown
Training,1633,45,management,single,tertiary,no,0,no,no,cellular,27,may,114,1,-1,0,unknown
Training,1634,26,services,married,secondary,no,-285,yes,yes,unknown,4,jun,279,1,-1,0,unknown
Training,1635,58,technician,married,secondary,no,4717,yes,no,cellular,19,nov,135,1,-1,0,unknown
Training,1636,48,management,married,tertiary,no,666,yes,no,cellular,7,jul,317,6,-1,0,unknown
Training,1637,66,retired,divorced,unknown,no,53,no,no,cellular,12,jul,562,4,-1,0,unknown
Training,1638,30,blue-collar,single,secondary,no,-390,yes,no,cellular,5,may,275,1,-1,0,unknown
Training,1639,35,admin.,married,secondary,no,-428,yes,yes,cellular,10,jul,147,1,-1,0,unknown
Training,1640,26,blue-collar,single,secondary,no,1292,yes,no,cellular,24,jul,48,4,-1,0,unknown
Training,1641,63,retired,married,tertiary,no,1795,no,no,cellular,7,sep,219,1,-1,0,unknown
Training,1642,37,admin.,divorced,tertiary,no,4708,no,no,cellular,2,jun,238,1,181,2,success
Training,1643,43,blue-collar,married,primary,no,17,yes,no,unknown,13,may,119,10,-1,0,unknown
Training,1644,28,technician,single,secondary,no,1363,no,no,cellular,9,jun,431,3,102,1,success
Training,1645,26,student,single,tertiary,no,641,yes,no,cellular,15,may,55,1,368,1,failure
Training,1646,33,services,single,secondary,no,2881,no,no,cellular,26,may,289,1,328,1,success
